ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
sheep,dog,rat,fox,dolphin,turkey,hog,horse,goat,"['stim8', 'stim6', 'stim1', 'stim7', 'stim2', 'stim3', 'stim4', 'stim5']","['goat', 'hog', 'dog', 'horse', 'rat', 'fox', 'dolphin', 'turkey']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
bluebird,goldfish,turtle,hog,bat,frog,dolphin,fox,crocodile,"['stim4', 'stim5', 'stim2', 'stim3', 'stim7', 'stim8', 'stim1', 'stim6']","['bat', 'frog', 'turtle', 'hog', 'fox', 'crocodile', 'goldfish', 'dolphin']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
cow,ant,bear,hog,horse,giraffe,owl,butterfly,cat,"['stim3', 'stim4', 'stim8', 'stim5', 'stim2', 'stim6', 'stim1', 'stim7']","['hog', 'horse', 'cat', 'giraffe', 'bear', 'owl', 'ant', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
horse,shark,lizard,frog,tiger,duck,butterfly,dog,mouse,"['stim7', 'stim4', 'stim8', 'stim2', 'stim5', 'stim3', 'stim1', 'stim6']","['dog', 'tiger', 'mouse', 'lizard', 'duck', 'frog', 'shark', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
fox,monkey,crocodile,cow,dog,rat,eagle,whale,duck,"['stim4', 'stim3', 'stim5', 'stim1', 'stim2', 'stim7', 'stim8', 'stim6']","['dog', 'cow', 'rat', 'monkey', 'crocodile', 'whale', 'duck', 'eagle']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
dog,lizard,elephant,butterfly,bluebird,bear,eagle,giraffe,frog,"['stim7', 'stim5', 'stim2', 'stim1', 'stim8', 'stim6', 'stim4', 'stim3']","['giraffe', 'bear', 'elephant', 'lizard', 'frog', 'eagle', 'bluebird', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
ladybug,turtle,frog,whale,monkey,giraffe,snake,dog,elephant,"['stim2', 'stim6', 'stim1', 'stim7', 'stim5', 'stim8', 'stim4', 'stim3']","['frog', 'snake', 'turtle', 'dog', 'giraffe', 'elephant', 'monkey', 'whale']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
bat,mouse,owl,butterfly,ladybug,cow,dog,giraffe,bluebird,"['stim1', 'stim2', 'stim8', 'stim5', 'stim6', 'stim7', 'stim3', 'stim4']","['mouse', 'owl', 'bluebird', 'cow', 'dog', 'giraffe', 'butterfly', 'ladybug']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
bear,duck,mouse,dolphin,bluebird,turtle,turkey,hog,sheep,"['stim8', 'stim7', 'stim3', 'stim2', 'stim6', 'stim1', 'stim4', 'stim5']","['sheep', 'hog', 'dolphin', 'mouse', 'turkey', 'duck', 'bluebird', 'turtle']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
eagle,elephant,ant,ladybug,horse,fox,owl,snake,dog,"['stim6', 'stim8', 'stim5', 'stim3', 'stim7', 'stim1', 'stim4', 'stim2']","['owl', 'dog', 'fox', 'ladybug', 'snake', 'elephant', 'horse', 'ant']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
ladybug,cat,bat,goldfish,bluebird,shark,owl,lizard,ant,"['stim8', 'stim2', 'stim7', 'stim4', 'stim6', 'stim3', 'stim1', 'stim5']","['ant', 'bat', 'lizard', 'bluebird', 'owl', 'goldfish', 'cat', 'shark']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
pigeon,dolphin,cow,goldfish,snail,ant,cat,spider,rat,"['stim8', 'stim6', 'stim2', 'stim3', 'stim5', 'stim7', 'stim4', 'stim1']","['rat', 'cat', 'cow', 'goldfish', 'ant', 'spider', 'snail', 'dolphin']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
hog,snail,bear,bluebird,mouse,elephant,cat,sparrow,owl,"['stim6', 'stim2', 'stim4', 'stim5', 'stim8', 'stim7', 'stim3', 'stim1']","['cat', 'bear', 'mouse', 'elephant', 'owl', 'sparrow', 'bluebird', 'snail']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
turtle,cow,cat,sparrow,snake,elephant,ant,snail,duck,"['stim4', 'stim7', 'stim8', 'stim1', 'stim2', 'stim3', 'stim6', 'stim5']","['snake', 'snail', 'duck', 'cow', 'cat', 'sparrow', 'ant', 'elephant']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
snake,frog,bear,shark,dog,snail,elephant,giraffe,cow,"['stim1', 'stim5', 'stim3', 'stim8', 'stim4', 'stim6', 'stim7', 'stim2']","['frog', 'snail', 'shark', 'cow', 'dog', 'elephant', 'giraffe', 'bear']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
monkey,fox,shark,duck,ant,rat,tiger,giraffe,cow,"['stim6', 'stim7', 'stim1', 'stim5', 'stim8', 'stim3', 'stim2', 'stim4']","['tiger', 'giraffe', 'fox', 'rat', 'cow', 'duck', 'shark', 'ant']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
sparrow,monkey,rat,horse,bluebird,snail,eagle,lizard,ant,"['stim4', 'stim6', 'stim2', 'stim7', 'stim1', 'stim3', 'stim8', 'stim5']","['bluebird', 'eagle', 'rat', 'lizard', 'monkey', 'horse', 'ant', 'snail']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
butterfly,giraffe,duck,hog,elephant,ladybug,bluebird,goat,dolphin,"['stim5', 'stim6', 'stim2', 'stim3', 'stim7', 'stim1', 'stim4', 'stim8']","['ladybug', 'bluebird', 'duck', 'hog', 'goat', 'giraffe', 'elephant', 'dolphin']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
spider,giraffe,rat,butterfly,frog,duck,ladybug,monkey,shark,"['stim3', 'stim6', 'stim4', 'stim5', 'stim2', 'stim1', 'stim7', 'stim8']","['butterfly', 'ladybug', 'frog', 'duck', 'rat', 'giraffe', 'monkey', 'shark']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
monkey,goat,ladybug,hog,sparrow,whale,bear,lizard,snail,"['stim6', 'stim1', 'stim3', 'stim5', 'stim7', 'stim4', 'stim2', 'stim8']","['bear', 'goat', 'hog', 'whale', 'lizard', 'sparrow', 'ladybug', 'snail']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
owl,dolphin,butterfly,rat,dog,bear,frog,eagle,monkey,"['stim7', 'stim3', 'stim2', 'stim6', 'stim4', 'stim8', 'stim5', 'stim1']","['eagle', 'rat', 'butterfly', 'frog', 'dog', 'monkey', 'bear', 'dolphin']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
hog,bear,goldfish,turkey,horse,sparrow,ladybug,goat,fox,"['stim7', 'stim8', 'stim4', 'stim1', 'stim3', 'stim5', 'stim6', 'stim2']","['goat', 'fox', 'horse', 'bear', 'turkey', 'sparrow', 'ladybug', 'goldfish']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
owl,frog,elephant,ant,sparrow,turkey,mouse,cow,eagle,"['stim8', 'stim4', 'stim5', 'stim6', 'stim7', 'stim1', 'stim2', 'stim3']","['eagle', 'sparrow', 'turkey', 'mouse', 'cow', 'frog', 'elephant', 'ant']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
bear,horse,giraffe,ladybug,monkey,tiger,turkey,rat,hog,"['stim5', 'stim2', 'stim1', 'stim8', 'stim4', 'stim7', 'stim6', 'stim3']","['tiger', 'giraffe', 'horse', 'hog', 'monkey', 'rat', 'turkey', 'ladybug']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
sparrow,ladybug,dog,dolphin,goat,goldfish,fox,owl,butterfly,"['stim7', 'stim1', 'stim8', 'stim4', 'stim6', 'stim2', 'stim5', 'stim3']","['owl', 'ladybug', 'butterfly', 'goat', 'fox', 'dog', 'goldfish', 'dolphin']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
butterfly,cat,horse,giraffe,snake,dolphin,whale,monkey,sparrow,"['stim8', 'stim4', 'stim1', 'stim2', 'stim3', 'stim7', 'stim5', 'stim6']","['sparrow', 'snake', 'cat', 'horse', 'giraffe', 'monkey', 'dolphin', 'whale']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
pigeon,duck,sparrow,ant,butterfly,dog,dolphin,monkey,bat,"['stim2', 'stim1', 'stim8', 'stim5', 'stim4', 'stim3', 'stim6', 'stim7']","['sparrow', 'duck', 'bat', 'dog', 'butterfly', 'ant', 'dolphin', 'monkey']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
ladybug,whale,tiger,goat,bear,duck,elephant,eagle,spider,"['stim8', 'stim5', 'stim7', 'stim3', 'stim6', 'stim4', 'stim2', 'stim1']","['spider', 'duck', 'eagle', 'goat', 'elephant', 'bear', 'tiger', 'whale']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
whale,hog,bat,snail,spider,giraffe,bluebird,tiger,pigeon,"['stim7', 'stim5', 'stim1', 'stim2', 'stim8', 'stim6', 'stim3', 'stim4']","['tiger', 'giraffe', 'hog', 'bat', 'pigeon', 'bluebird', 'snail', 'spider']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
butterfly,rat,dog,mouse,spider,ant,bear,pigeon,goldfish,"['stim4', 'stim5', 'stim7', 'stim3', 'stim1', 'stim8', 'stim2', 'stim6']","['spider', 'ant', 'pigeon', 'mouse', 'rat', 'goldfish', 'dog', 'bear']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
turkey,butterfly,lizard,cow,dog,dolphin,goat,owl,sparrow,"['stim7', 'stim8', 'stim6', 'stim3', 'stim2', 'stim4', 'stim1', 'stim5']","['owl', 'sparrow', 'goat', 'cow', 'lizard', 'dog', 'butterfly', 'dolphin']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
tiger,frog,bear,spider,duck,butterfly,bluebird,owl,turkey,"['stim2', 'stim8', 'stim4', 'stim7', 'stim6', 'stim1', 'stim3', 'stim5']","['bear', 'turkey', 'duck', 'owl', 'bluebird', 'frog', 'spider', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
hog,butterfly,duck,tiger,sheep,rat,monkey,pigeon,shark,"['stim4', 'stim5', 'stim2', 'stim7', 'stim3', 'stim6', 'stim8', 'stim1']","['sheep', 'rat', 'duck', 'pigeon', 'tiger', 'monkey', 'shark', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
dolphin,owl,monkey,lizard,butterfly,eagle,whale,pigeon,elephant,"['stim6', 'stim8', 'stim2', 'stim3', 'stim5', 'stim1', 'stim7', 'stim4']","['whale', 'elephant', 'monkey', 'lizard', 'eagle', 'owl', 'pigeon', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
shark,crocodile,butterfly,fox,giraffe,bat,mouse,sparrow,monkey,"['stim1', 'stim3', 'stim8', 'stim4', 'stim6', 'stim5', 'stim7', 'stim2']","['crocodile', 'fox', 'monkey', 'giraffe', 'mouse', 'bat', 'sparrow', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
monkey,dog,sheep,pigeon,snake,frog,cat,owl,horse,"['stim1', 'stim8', 'stim6', 'stim2', 'stim7', 'stim3', 'stim5', 'stim4']","['dog', 'horse', 'cat', 'sheep', 'owl', 'pigeon', 'frog', 'snake']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
rat,lizard,dog,sparrow,bluebird,tiger,crocodile,duck,fox,"['stim2', 'stim8', 'stim1', 'stim3', 'stim4', 'stim7', 'stim6', 'stim5']","['dog', 'fox', 'lizard', 'sparrow', 'bluebird', 'duck', 'crocodile', 'tiger']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
owl,sheep,mouse,sparrow,whale,goldfish,ladybug,goat,snail,"['stim3', 'stim2', 'stim1', 'stim7', 'stim6', 'stim8', 'stim5', 'stim4']","['sparrow', 'mouse', 'sheep', 'goat', 'ladybug', 'snail', 'goldfish', 'whale']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
spider,turkey,sheep,goldfish,pigeon,snake,horse,dolphin,owl,"['stim5', 'stim3', 'stim4', 'stim8', 'stim1', 'stim2', 'stim6', 'stim7']","['snake', 'goldfish', 'pigeon', 'owl', 'turkey', 'sheep', 'horse', 'dolphin']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
elephant,frog,bear,turtle,pigeon,horse,dolphin,crocodile,sheep,"['stim5', 'stim2', 'stim8', 'stim6', 'stim7', 'stim3', 'stim1', 'stim4']","['horse', 'bear', 'sheep', 'dolphin', 'crocodile', 'turtle', 'frog', 'pigeon']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
dog,spider,duck,turkey,sheep,crocodile,snake,snail,horse,"['stim8', 'stim4', 'stim5', 'stim3', 'stim2', 'stim6', 'stim1', 'stim7']","['horse', 'sheep', 'crocodile', 'turkey', 'duck', 'snake', 'spider', 'snail']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
giraffe,bat,crocodile,ladybug,pigeon,monkey,duck,goat,turkey,"['stim5', 'stim7', 'stim2', 'stim1', 'stim8', 'stim6', 'stim4', 'stim3']","['monkey', 'goat', 'crocodile', 'bat', 'turkey', 'duck', 'pigeon', 'ladybug']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
horse,fox,tiger,cow,mouse,eagle,whale,monkey,bat,"['stim3', 'stim7', 'stim1', 'stim4', 'stim2', 'stim6', 'stim8', 'stim5']","['cow', 'monkey', 'fox', 'mouse', 'tiger', 'whale', 'bat', 'eagle']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
goldfish,cat,cow,lizard,whale,monkey,elephant,spider,hog,"['stim4', 'stim3', 'stim7', 'stim8', 'stim2', 'stim1', 'stim6', 'stim5']","['whale', 'lizard', 'spider', 'hog', 'cow', 'cat', 'elephant', 'monkey']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
pigeon,sheep,ladybug,whale,bear,crocodile,fox,giraffe,frog,"['stim2', 'stim1', 'stim8', 'stim6', 'stim7', 'stim5', 'stim4', 'stim3']","['ladybug', 'sheep', 'frog', 'fox', 'giraffe', 'crocodile', 'bear', 'whale']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
cat,bat,snail,hog,giraffe,turkey,bluebird,ant,tiger,"['stim8', 'stim3', 'stim4', 'stim1', 'stim5', 'stim6', 'stim7', 'stim2']","['tiger', 'hog', 'giraffe', 'bat', 'turkey', 'bluebird', 'ant', 'snail']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
cat,sheep,monkey,turtle,fox,goat,horse,elephant,dog,"['stim8', 'stim5', 'stim1', 'stim4', 'stim6', 'stim7', 'stim2', 'stim3']","['dog', 'goat', 'sheep', 'fox', 'horse', 'elephant', 'monkey', 'turtle']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
rat,butterfly,bear,snake,snail,giraffe,ant,elephant,pigeon,"['stim8', 'stim5', 'stim2', 'stim6', 'stim3', 'stim7', 'stim1', 'stim4']","['pigeon', 'giraffe', 'bear', 'ant', 'snake', 'elephant', 'butterfly', 'snail']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
giraffe,sparrow,bluebird,rat,horse,dolphin,fox,frog,butterfly,"['stim4', 'stim6', 'stim5', 'stim3', 'stim1', 'stim2', 'stim7', 'stim8']","['horse', 'fox', 'dolphin', 'rat', 'sparrow', 'bluebird', 'frog', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
sheep,ant,butterfly,bat,duck,cow,bluebird,goldfish,elephant,"['stim5', 'stim8', 'stim3', 'stim4', 'stim6', 'stim1', 'stim7', 'stim2']","['cow', 'elephant', 'bat', 'duck', 'bluebird', 'ant', 'goldfish', 'butterfly']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
cow,monkey,dolphin,eagle,tiger,dog,bear,ant,fox,"['stim5', 'stim6', 'stim1', 'stim8', 'stim4', 'stim2', 'stim3', 'stim7']","['dog', 'bear', 'monkey', 'fox', 'tiger', 'dolphin', 'eagle', 'ant']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
elephant,bat,bluebird,giraffe,spider,dog,monkey,snake,mouse,"['stim6', 'stim3', 'stim5', 'stim8', 'stim1', 'stim7', 'stim2', 'stim4']","['monkey', 'giraffe', 'dog', 'mouse', 'bat', 'snake', 'bluebird', 'spider']",S4,5,2021_Oct_06_0920,image_exp,3.2.4,60.2873437
