ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
lizard,frog,snake,sparrow,turtle,turkey,crocodile,bat,shark,"['stim1', 'stim2', 'stim4', 'stim6', 'stim7', 'stim3', 'stim5', 'stim8']","['frog', 'snake', 'turtle', 'crocodile', 'bat', 'sparrow', 'turkey', 'shark']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
rat,crocodile,turtle,owl,goldfish,monkey,ladybug,dolphin,duck,"['stim3', 'stim8', 'stim2', 'stim5', 'stim7', 'stim1', 'stim6', 'stim4']","['owl', 'duck', 'turtle', 'monkey', 'dolphin', 'crocodile', 'ladybug', 'goldfish']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
duck,turkey,frog,cow,turtle,tiger,pigeon,bear,lizard,"['stim1', 'stim6', 'stim4', 'stim8', 'stim2', 'stim3', 'stim7', 'stim5']","['turkey', 'pigeon', 'turtle', 'lizard', 'frog', 'cow', 'bear', 'tiger']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
snail,lizard,sparrow,owl,dog,goat,frog,goldfish,turkey,"['stim6', 'stim1', 'stim7', 'stim2', 'stim3', 'stim8', 'stim5', 'stim4']","['frog', 'lizard', 'goldfish', 'sparrow', 'owl', 'turkey', 'goat', 'dog']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
hog,sparrow,goldfish,bear,ladybug,fox,turkey,goat,horse,"['stim7', 'stim8', 'stim3', 'stim5', 'stim6', 'stim1', 'stim2', 'stim4']","['goat', 'horse', 'bear', 'fox', 'turkey', 'sparrow', 'goldfish', 'ladybug']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
ladybug,mouse,hog,shark,dolphin,fox,cat,eagle,duck,"['stim1', 'stim8', 'stim7', 'stim2', 'stim5', 'stim6', 'stim4', 'stim3']","['mouse', 'duck', 'eagle', 'hog', 'fox', 'cat', 'dolphin', 'shark']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
pigeon,dog,sparrow,duck,dolphin,bat,ant,monkey,butterfly,"['stim2', 'stim3', 'stim5', 'stim1', 'stim8', 'stim6', 'stim7', 'stim4']","['sparrow', 'duck', 'bat', 'dog', 'butterfly', 'ant', 'monkey', 'dolphin']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
horse,bear,elephant,sparrow,dolphin,pigeon,cow,monkey,snake,"['stim2', 'stim6', 'stim1', 'stim7', 'stim4', 'stim8', 'stim5', 'stim3']","['elephant', 'cow', 'bear', 'monkey', 'dolphin', 'snake', 'pigeon', 'sparrow']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
pigeon,elephant,bluebird,crocodile,bear,owl,shark,mouse,turkey,"['stim2', 'stim5', 'stim8', 'stim7', 'stim3', 'stim1', 'stim4', 'stim6']","['bluebird', 'owl', 'turkey', 'mouse', 'crocodile', 'elephant', 'bear', 'shark']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
owl,horse,shark,tiger,fox,pigeon,bluebird,turtle,crocodile,"['stim5', 'stim6', 'stim7', 'stim8', 'stim4', 'stim1', 'stim3', 'stim2']","['pigeon', 'bluebird', 'turtle', 'crocodile', 'fox', 'horse', 'tiger', 'shark']",S4,8,2021_Oct_22_1008,image_exp,3.2.4,60.92022473
