ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
duck,dolphin,cat,monkey,goat,snail,elephant,fox,rat,"['stim4', 'stim8', 'stim2', 'stim7', 'stim5', 'stim1', 'stim6', 'stim3']","['goat', 'rat', 'cat', 'fox', 'snail', 'dolphin', 'elephant', 'monkey']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
lizard,goldfish,dog,rat,ant,fox,elephant,spider,giraffe,"['stim4', 'stim3', 'stim7', 'stim2', 'stim5', 'stim1', 'stim6', 'stim8']","['ant', 'rat', 'spider', 'dog', 'fox', 'goldfish', 'elephant', 'giraffe']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
shark,goldfish,turtle,tiger,hog,ladybug,dolphin,cow,horse,"['stim6', 'stim3', 'stim1', 'stim8', 'stim7', 'stim4', 'stim2', 'stim5']","['dolphin', 'tiger', 'goldfish', 'horse', 'cow', 'hog', 'turtle', 'ladybug']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
ladybug,shark,lizard,cat,bat,owl,ant,bluebird,goldfish,"['stim6', 'stim7', 'stim4', 'stim5', 'stim2', 'stim8', 'stim3', 'stim1']","['ant', 'bluebird', 'bat', 'owl', 'lizard', 'goldfish', 'cat', 'shark']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
butterfly,dolphin,monkey,cat,horse,whale,sparrow,snake,giraffe,"['stim6', 'stim7', 'stim3', 'stim4', 'stim8', 'stim2', 'stim1', 'stim5']","['sparrow', 'snake', 'cat', 'horse', 'giraffe', 'monkey', 'dolphin', 'whale']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
ant,duck,spider,butterfly,rat,giraffe,horse,goldfish,fox,"['stim2', 'stim3', 'stim4', 'stim1', 'stim7', 'stim8', 'stim6', 'stim5']","['spider', 'butterfly', 'rat', 'duck', 'goldfish', 'fox', 'horse', 'giraffe']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
pigeon,tiger,ladybug,spider,eagle,whale,turtle,horse,snail,"['stim4', 'stim2', 'stim6', 'stim7', 'stim1', 'stim8', 'stim3', 'stim5']","['eagle', 'ladybug', 'turtle', 'horse', 'tiger', 'snail', 'spider', 'whale']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
shark,bat,sparrow,crocodile,butterfly,mouse,monkey,giraffe,fox,"['stim3', 'stim8', 'stim7', 'stim6', 'stim5', 'stim1', 'stim2', 'stim4']","['crocodile', 'fox', 'giraffe', 'monkey', 'mouse', 'bat', 'sparrow', 'butterfly']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
snake,hog,cat,bear,elephant,lizard,turkey,eagle,crocodile,"['stim5', 'stim8', 'stim4', 'stim2', 'stim1', 'stim6', 'stim7', 'stim3']","['lizard', 'crocodile', 'elephant', 'cat', 'hog', 'turkey', 'eagle', 'bear']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
sheep,cow,goldfish,ant,butterfly,bluebird,elephant,duck,bat,"['stim1', 'stim6', 'stim7', 'stim8', 'stim5', 'stim3', 'stim4', 'stim2']","['cow', 'elephant', 'duck', 'bat', 'bluebird', 'ant', 'butterfly', 'goldfish']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
butterfly,ladybug,goat,giraffe,duck,bluebird,dolphin,elephant,hog,"['stim1', 'stim5', 'stim4', 'stim2', 'stim8', 'stim7', 'stim3', 'stim6']","['ladybug', 'bluebird', 'duck', 'goat', 'hog', 'elephant', 'giraffe', 'dolphin']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
owl,horse,turtle,tiger,shark,fox,pigeon,crocodile,bluebird,"['stim6', 'stim8', 'stim5', 'stim1', 'stim2', 'stim7', 'stim3', 'stim4']","['pigeon', 'bluebird', 'fox', 'horse', 'turtle', 'crocodile', 'tiger', 'shark']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
crocodile,bluebird,snail,rat,snake,ant,horse,giraffe,owl,"['stim4', 'stim6', 'stim7', 'stim3', 'stim5', 'stim8', 'stim1', 'stim2']","['snake', 'horse', 'giraffe', 'rat', 'ant', 'owl', 'bluebird', 'snail']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
goat,tiger,lizard,monkey,shark,snake,dog,fox,pigeon,"['stim6', 'stim7', 'stim1', 'stim3', 'stim2', 'stim5', 'stim8', 'stim4']","['dog', 'fox', 'tiger', 'monkey', 'lizard', 'snake', 'pigeon', 'shark']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
turtle,monkey,ladybug,dolphin,tiger,mouse,fox,bat,frog,"['stim8', 'stim2', 'stim5', 'stim6', 'stim7', 'stim3', 'stim1', 'stim4']","['frog', 'ladybug', 'mouse', 'fox', 'bat', 'dolphin', 'monkey', 'tiger']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
cat,crocodile,mouse,frog,goldfish,lizard,ladybug,duck,sparrow,"['stim2', 'stim1', 'stim5', 'stim7', 'stim3', 'stim8', 'stim6', 'stim4']","['mouse', 'crocodile', 'lizard', 'duck', 'frog', 'sparrow', 'ladybug', 'goldfish']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
elephant,lizard,hog,ant,ladybug,whale,cat,turkey,goat,"['stim2', 'stim6', 'stim8', 'stim5', 'stim1', 'stim7', 'stim3', 'stim4']","['hog', 'cat', 'goat', 'whale', 'lizard', 'turkey', 'ant', 'ladybug']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
pigeon,elephant,mouse,crocodile,bluebird,bear,owl,turkey,shark,"['stim4', 'stim6', 'stim7', 'stim2', 'stim1', 'stim5', 'stim3', 'stim8']","['bluebird', 'owl', 'turkey', 'mouse', 'elephant', 'bear', 'crocodile', 'shark']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
frog,butterfly,goldfish,snail,spider,dog,fox,sheep,lizard,"['stim8', 'stim3', 'stim2', 'stim7', 'stim5', 'stim6', 'stim4', 'stim1']","['lizard', 'snail', 'goldfish', 'sheep', 'dog', 'fox', 'spider', 'butterfly']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
ladybug,turkey,butterfly,crocodile,horse,bluebird,cow,goldfish,sparrow,"['stim2', 'stim5', 'stim8', 'stim1', 'stim7', 'stim3', 'stim6', 'stim4']","['butterfly', 'bluebird', 'sparrow', 'turkey', 'goldfish', 'crocodile', 'cow', 'horse']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
hog,cow,snake,spider,bluebird,dog,crocodile,elephant,ant,"['stim1', 'stim5', 'stim7', 'stim6', 'stim2', 'stim4', 'stim8', 'stim3']","['cow', 'dog', 'elephant', 'crocodile', 'snake', 'bluebird', 'ant', 'spider']",S4,3,2021_Oct_01_1518,image_exp,3.2.4,59.91721347
giraffe,monkey,goat,bat,crocodile,duck,turkey,pigeon,ladybug,"['stim1', 'stim2', 'stim4', 'stim3', 'stim6', 'stim5', 'stim7', 'stim8']","['monkey', 'goat', 'crocodile', 'bat', 'turkey', 'duck', 'pigeon', 'ladybug']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
bear,turtle,hog,duck,mouse,turkey,sheep,bluebird,dolphin,"['stim6', 'stim2', 'stim4', 'stim8', 'stim5', 'stim3', 'stim7', 'stim1']","['sheep', 'hog', 'mouse', 'dolphin', 'turkey', 'duck', 'bluebird', 'turtle']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
bluebird,hog,monkey,frog,lizard,horse,bear,cow,dog,"['stim4', 'stim3', 'stim7', 'stim1', 'stim8', 'stim5', 'stim2', 'stim6']","['lizard', 'frog', 'cow', 'hog', 'dog', 'horse', 'monkey', 'bear']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
cow,tiger,goldfish,lizard,frog,eagle,sparrow,turkey,rat,"['stim8', 'stim1', 'stim7', 'stim3', 'stim5', 'stim4', 'stim6', 'stim2']","['rat', 'tiger', 'turkey', 'lizard', 'eagle', 'frog', 'sparrow', 'goldfish']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
bear,horse,pigeon,cat,lizard,ant,sparrow,owl,giraffe,"['stim1', 'stim8', 'stim3', 'stim4', 'stim7', 'stim2', 'stim6', 'stim5']","['horse', 'giraffe', 'cat', 'lizard', 'owl', 'pigeon', 'sparrow', 'ant']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
pigeon,crocodile,giraffe,sheep,ladybug,fox,frog,bear,whale,"['stim4', 'stim3', 'stim5', 'stim2', 'stim6', 'stim1', 'stim7', 'stim8']","['ladybug', 'sheep', 'fox', 'giraffe', 'frog', 'crocodile', 'bear', 'whale']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
monkey,mouse,lizard,elephant,goldfish,fox,goat,giraffe,turkey,"['stim3', 'stim7', 'stim1', 'stim5', 'stim6', 'stim2', 'stim8', 'stim4']","['elephant', 'giraffe', 'mouse', 'fox', 'goat', 'lizard', 'turkey', 'goldfish']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
eagle,pigeon,duck,cat,whale,butterfly,goat,mouse,hog,"['stim1', 'stim2', 'stim7', 'stim3', 'stim8', 'stim6', 'stim5', 'stim4']","['pigeon', 'duck', 'mouse', 'cat', 'hog', 'goat', 'butterfly', 'whale']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
fox,hog,sheep,cat,elephant,ant,spider,mouse,snail,"['stim2', 'stim1', 'stim3', 'stim7', 'stim4', 'stim5', 'stim6', 'stim8']","['sheep', 'hog', 'cat', 'mouse', 'elephant', 'ant', 'spider', 'snail']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
monkey,whale,lizard,goat,ladybug,bear,snail,sparrow,hog,"['stim5', 'stim3', 'stim8', 'stim1', 'stim2', 'stim7', 'stim6', 'stim4']","['bear', 'goat', 'hog', 'whale', 'lizard', 'sparrow', 'snail', 'ladybug']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
horse,dolphin,owl,rat,ladybug,snail,cat,turtle,pigeon,"['stim1', 'stim6', 'stim3', 'stim2', 'stim7', 'stim8', 'stim5', 'stim4']","['dolphin', 'cat', 'rat', 'owl', 'turtle', 'pigeon', 'snail', 'ladybug']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
giraffe,goldfish,crocodile,tiger,bear,pigeon,shark,cow,eagle,"['stim4', 'stim7', 'stim3', 'stim2', 'stim8', 'stim5', 'stim6', 'stim1']","['bear', 'cow', 'tiger', 'crocodile', 'eagle', 'pigeon', 'shark', 'goldfish']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
bear,cow,shark,elephant,eagle,turtle,dog,crocodile,duck,"['stim3', 'stim6', 'stim1', 'stim7', 'stim8', 'stim2', 'stim4', 'stim5']","['elephant', 'dog', 'cow', 'crocodile', 'duck', 'shark', 'eagle', 'turtle']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
duck,mouse,giraffe,dog,spider,cow,turtle,crocodile,shark,"['stim1', 'stim6', 'stim5', 'stim7', 'stim3', 'stim2', 'stim4', 'stim8']","['mouse', 'turtle', 'cow', 'crocodile', 'dog', 'giraffe', 'spider', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
bluebird,elephant,tiger,ladybug,whale,snake,ant,pigeon,shark,"['stim7', 'stim3', 'stim5', 'stim1', 'stim2', 'stim6', 'stim4', 'stim8']","['pigeon', 'ladybug', 'snake', 'elephant', 'tiger', 'ant', 'whale', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
sheep,cow,pigeon,crocodile,sparrow,snail,ladybug,bat,bear,"['stim1', 'stim8', 'stim7', 'stim3', 'stim2', 'stim4', 'stim6', 'stim5']","['cow', 'bear', 'bat', 'crocodile', 'pigeon', 'sparrow', 'ladybug', 'snail']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
rat,lizard,cow,tiger,ant,frog,pigeon,mouse,hog,"['stim7', 'stim8', 'stim2', 'stim6', 'stim1', 'stim5', 'stim3', 'stim4']","['mouse', 'hog', 'cow', 'pigeon', 'lizard', 'frog', 'tiger', 'ant']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
fox,owl,snail,duck,crocodile,spider,butterfly,turkey,shark,"['stim4', 'stim3', 'stim1', 'stim7', 'stim2', 'stim6', 'stim5', 'stim8']","['crocodile', 'duck', 'owl', 'turkey', 'snail', 'butterfly', 'spider', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
monkey,frog,owl,dog,sheep,cat,horse,snake,pigeon,"['stim3', 'stim6', 'stim5', 'stim4', 'stim2', 'stim8', 'stim7', 'stim1']","['dog', 'horse', 'cat', 'sheep', 'owl', 'pigeon', 'snake', 'frog']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
ladybug,mouse,eagle,shark,hog,dolphin,fox,duck,cat,"['stim7', 'stim2', 'stim1', 'stim8', 'stim6', 'stim4', 'stim5', 'stim3']","['duck', 'eagle', 'mouse', 'cat', 'fox', 'hog', 'dolphin', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
bluebird,rat,monkey,shark,spider,cat,snake,dog,owl,"['stim8', 'stim1', 'stim5', 'stim7', 'stim2', 'stim6', 'stim4', 'stim3']","['owl', 'rat', 'cat', 'dog', 'monkey', 'snake', 'spider', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
fox,bluebird,goat,bear,tiger,dolphin,goldfish,giraffe,pigeon,"['stim2', 'stim3', 'stim7', 'stim4', 'stim5', 'stim8', 'stim1', 'stim6']","['goat', 'bear', 'giraffe', 'tiger', 'dolphin', 'pigeon', 'bluebird', 'goldfish']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
bat,turkey,cat,tiger,pigeon,snake,horse,duck,snail,"['stim2', 'stim7', 'stim4', 'stim1', 'stim6', 'stim3', 'stim8', 'stim5']","['cat', 'duck', 'pigeon', 'turkey', 'horse', 'tiger', 'snail', 'snake']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
butterfly,bat,whale,monkey,lizard,turkey,crocodile,shark,turtle,"['stim1', 'stim5', 'stim4', 'stim8', 'stim6', 'stim3', 'stim2', 'stim7']","['bat', 'turkey', 'lizard', 'turtle', 'crocodile', 'monkey', 'whale', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
bat,spider,shark,goldfish,dog,giraffe,whale,frog,hog,"['stim4', 'stim8', 'stim5', 'stim7', 'stim3', 'stim6', 'stim1', 'stim2']","['dog', 'hog', 'giraffe', 'frog', 'goldfish', 'whale', 'spider', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
frog,duck,ant,turkey,bear,sparrow,hog,bat,cat,"['stim1', 'stim3', 'stim7', 'stim2', 'stim8', 'stim5', 'stim6', 'stim4']","['duck', 'turkey', 'bat', 'ant', 'cat', 'sparrow', 'hog', 'bear']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
elephant,snake,duck,goldfish,spider,cow,pigeon,horse,fox,"['stim7', 'stim5', 'stim8', 'stim2', 'stim6', 'stim1', 'stim4', 'stim3']","['horse', 'cow', 'fox', 'duck', 'pigeon', 'snake', 'spider', 'goldfish']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
goat,bear,butterfly,crocodile,cat,bluebird,turtle,snake,shark,"['stim4', 'stim1', 'stim3', 'stim6', 'stim5', 'stim7', 'stim2', 'stim8']","['cat', 'bear', 'crocodile', 'turtle', 'bluebird', 'snake', 'butterfly', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
spider,duck,ant,snail,turtle,tiger,dog,mouse,giraffe,"['stim2', 'stim3', 'stim4', 'stim7', 'stim1', 'stim6', 'stim8', 'stim5']","['ant', 'snail', 'turtle', 'mouse', 'duck', 'dog', 'giraffe', 'tiger']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
mouse,owl,bluebird,dolphin,fox,monkey,sheep,snake,turtle,"['stim6', 'stim4', 'stim5', 'stim2', 'stim1', 'stim8', 'stim3', 'stim7']","['sheep', 'fox', 'monkey', 'bluebird', 'owl', 'turtle', 'dolphin', 'snake']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
ladybug,cow,rat,sheep,turkey,pigeon,snail,snake,monkey,"['stim6', 'stim7', 'stim5', 'stim4', 'stim2', 'stim3', 'stim1', 'stim8']","['snail', 'snake', 'pigeon', 'turkey', 'rat', 'sheep', 'cow', 'monkey']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
rat,goat,cat,snake,sheep,spider,shark,butterfly,turkey,"['stim1', 'stim4', 'stim2', 'stim8', 'stim3', 'stim5', 'stim7', 'stim6']","['goat', 'sheep', 'cat', 'turkey', 'snake', 'spider', 'butterfly', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
sparrow,snail,lizard,monkey,rat,eagle,ant,bluebird,horse,"['stim7', 'stim5', 'stim4', 'stim2', 'stim8', 'stim3', 'stim1', 'stim6']","['bluebird', 'eagle', 'rat', 'lizard', 'horse', 'monkey', 'snail', 'ant']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
butterfly,ant,pigeon,rat,dog,bear,goldfish,spider,mouse,"['stim1', 'stim7', 'stim2', 'stim8', 'stim3', 'stim6', 'stim4', 'stim5']","['ant', 'spider', 'pigeon', 'mouse', 'rat', 'goldfish', 'dog', 'bear']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
rat,crocodile,dolphin,owl,turtle,goldfish,monkey,duck,ladybug,"['stim6', 'stim3', 'stim7', 'stim4', 'stim1', 'stim2', 'stim8', 'stim5']","['monkey', 'owl', 'duck', 'turtle', 'crocodile', 'dolphin', 'ladybug', 'goldfish']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
sheep,turkey,horse,dog,rat,hog,goat,dolphin,fox,"['stim6', 'stim5', 'stim3', 'stim8', 'stim4', 'stim2', 'stim7', 'stim1']","['goat', 'hog', 'dog', 'fox', 'rat', 'horse', 'dolphin', 'turkey']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
snake,snail,giraffe,frog,bear,elephant,cow,dog,shark,"['stim3', 'stim1', 'stim7', 'stim6', 'stim5', 'stim8', 'stim2', 'stim4']","['frog', 'snail', 'dog', 'cow', 'elephant', 'shark', 'giraffe', 'bear']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
tiger,sparrow,dolphin,monkey,sheep,elephant,ladybug,giraffe,cow,"['stim5', 'stim7', 'stim3', 'stim8', 'stim4', 'stim2', 'stim6', 'stim1']","['elephant', 'giraffe', 'monkey', 'cow', 'sheep', 'dolphin', 'ladybug', 'sparrow']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
cat,lizard,pigeon,whale,ladybug,owl,bat,bluebird,rat,"['stim8', 'stim6', 'stim3', 'stim5', 'stim2', 'stim7', 'stim1', 'stim4']","['rat', 'bat', 'whale', 'owl', 'pigeon', 'bluebird', 'lizard', 'ladybug']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
turkey,cat,ant,turtle,bat,pigeon,shark,giraffe,bluebird,"['stim5', 'stim8', 'stim4', 'stim1', 'stim3', 'stim7', 'stim2', 'stim6']","['pigeon', 'bluebird', 'bat', 'cat', 'turtle', 'giraffe', 'ant', 'shark']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
snail,dolphin,spider,rat,ant,tiger,cat,cow,monkey,"['stim4', 'stim2', 'stim3', 'stim6', 'stim7', 'stim1', 'stim8', 'stim5']","['ant', 'spider', 'rat', 'cat', 'cow', 'dolphin', 'monkey', 'tiger']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
horse,duck,dog,shark,lizard,butterfly,mouse,tiger,frog,"['stim2', 'stim7', 'stim6', 'stim1', 'stim3', 'stim4', 'stim8', 'stim5']","['dog', 'tiger', 'mouse', 'duck', 'shark', 'lizard', 'frog', 'butterfly']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
tiger,mouse,cat,pigeon,snail,frog,owl,shark,lizard,"['stim2', 'stim1', 'stim8', 'stim7', 'stim6', 'stim3', 'stim5', 'stim4']","['cat', 'mouse', 'lizard', 'shark', 'owl', 'pigeon', 'frog', 'snail']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
lizard,mouse,tiger,pigeon,owl,cat,duck,dolphin,ladybug,"['stim8', 'stim1', 'stim6', 'stim3', 'stim4', 'stim5', 'stim7', 'stim2']","['ladybug', 'mouse', 'duck', 'pigeon', 'owl', 'cat', 'dolphin', 'tiger']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
snake,fox,horse,crocodile,turkey,whale,monkey,sheep,turtle,"['stim3', 'stim8', 'stim4', 'stim1', 'stim7', 'stim2', 'stim6', 'stim5']","['crocodile', 'turtle', 'turkey', 'fox', 'sheep', 'horse', 'monkey', 'whale']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
snail,horse,tiger,mouse,snake,dolphin,sheep,whale,turtle,"['stim8', 'stim4', 'stim3', 'stim6', 'stim1', 'stim5', 'stim7', 'stim2']","['turtle', 'snake', 'mouse', 'sheep', 'horse', 'dolphin', 'whale', 'tiger']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
mouse,goat,butterfly,duck,eagle,cat,crocodile,snail,lizard,"['stim5', 'stim1', 'stim8', 'stim6', 'stim3', 'stim4', 'stim7', 'stim2']","['cat', 'goat', 'lizard', 'crocodile', 'duck', 'eagle', 'snail', 'butterfly']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
ant,cat,hog,snail,sparrow,dog,whale,cow,monkey,"['stim3', 'stim2', 'stim7', 'stim4', 'stim1', 'stim5', 'stim6', 'stim8']","['snail', 'hog', 'cow', 'sparrow', 'cat', 'dog', 'whale', 'monkey']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
tiger,goat,eagle,fox,ant,snake,turtle,lizard,pigeon,"['stim3', 'stim1', 'stim7', 'stim5', 'stim2', 'stim8', 'stim6', 'stim4']","['fox', 'goat', 'lizard', 'snake', 'eagle', 'pigeon', 'turtle', 'ant']",S4,3,2021_Oct_01_1528,image_exp,3.2.4,60.0443353
