ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
whale,fox,eagle,cat,ant,sheep,rat,horse,dolphin,"['stim8', 'stim7', 'stim3', 'stim1', 'stim5', 'stim6', 'stim4', 'stim2']","['dolphin', 'horse', 'cat', 'fox', 'sheep', 'rat', 'ant', 'eagle']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
mouse,frog,elephant,dog,spider,ant,bat,turkey,giraffe,"['stim6', 'stim3', 'stim1', 'stim5', 'stim7', 'stim8', 'stim2', 'stim4']","['bat', 'dog', 'frog', 'ant', 'turkey', 'giraffe', 'elephant', 'spider']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
duck,sheep,ant,horse,butterfly,lizard,turkey,eagle,goldfish,"['stim7', 'stim6', 'stim1', 'stim5', 'stim8', 'stim3', 'stim2', 'stim4']","['eagle', 'turkey', 'sheep', 'lizard', 'goldfish', 'horse', 'ant', 'butterfly']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
hog,duck,dolphin,lizard,horse,whale,pigeon,goat,frog,"['stim7', 'stim4', 'stim2', 'stim1', 'stim3', 'stim5', 'stim8', 'stim6']","['goat', 'horse', 'dolphin', 'duck', 'lizard', 'whale', 'frog', 'pigeon']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
goat,sparrow,sheep,dolphin,spider,giraffe,bat,snail,elephant,"['stim2', 'stim5', 'stim8', 'stim6', 'stim3', 'stim1', 'stim7', 'stim4']","['sheep', 'giraffe', 'elephant', 'bat', 'dolphin', 'sparrow', 'snail', 'spider']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
duck,snake,ladybug,hog,shark,dog,sparrow,fox,monkey,"['stim6', 'stim2', 'stim3', 'stim5', 'stim7', 'stim1', 'stim8', 'stim4']","['sparrow', 'ladybug', 'hog', 'dog', 'fox', 'snake', 'monkey', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
bear,pigeon,horse,sparrow,giraffe,owl,lizard,cat,ant,"['stim4', 'stim2', 'stim7', 'stim5', 'stim1', 'stim3', 'stim6', 'stim8']","['giraffe', 'horse', 'cat', 'owl', 'pigeon', 'sparrow', 'lizard', 'ant']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
ladybug,eagle,mouse,fox,cat,duck,hog,shark,dolphin,"['stim5', 'stim1', 'stim2', 'stim6', 'stim3', 'stim4', 'stim8', 'stim7']","['duck', 'eagle', 'mouse', 'hog', 'fox', 'cat', 'dolphin', 'shark']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
sparrow,mouse,turtle,elephant,horse,pigeon,rat,whale,spider,"['stim5', 'stim1', 'stim6', 'stim2', 'stim3', 'stim4', 'stim8', 'stim7']","['pigeon', 'mouse', 'rat', 'turtle', 'elephant', 'horse', 'spider', 'whale']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
bluebird,fox,frog,crocodile,hog,bat,turtle,goldfish,dolphin,"['stim5', 'stim6', 'stim2', 'stim4', 'stim1', 'stim7', 'stim3', 'stim8']","['bat', 'turtle', 'frog', 'hog', 'fox', 'goldfish', 'crocodile', 'dolphin']",S4,1,2021_Sep_23_1336,image_exp,3.2.4,59.99433042
