ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
goldfish,frog,turkey,shark,snake,eagle,ladybug,snail,dolphin,"['stim3', 'stim8', 'stim1', 'stim4', 'stim7', 'stim6', 'stim5', 'stim2']","['shark', 'dolphin', 'frog', 'snake', 'snail', 'ladybug', 'eagle', 'turkey']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
horse,monkey,cow,eagle,fox,mouse,tiger,bat,whale,"['stim2', 'stim6', 'stim5', 'stim1', 'stim7', 'stim4', 'stim8', 'stim3']","['cow', 'tiger', 'mouse', 'monkey', 'bat', 'fox', 'whale', 'eagle']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
fox,goat,pigeon,bluebird,bear,giraffe,tiger,goldfish,dolphin,"['stim1', 'stim4', 'stim6', 'stim5', 'stim8', 'stim2', 'stim3', 'stim7']","['goat', 'bear', 'tiger', 'giraffe', 'dolphin', 'pigeon', 'bluebird', 'goldfish']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
spider,ant,giraffe,duck,snail,mouse,turtle,dog,tiger,"['stim1', 'stim4', 'stim6', 'stim5', 'stim3', 'stim7', 'stim2', 'stim8']","['ant', 'snail', 'turtle', 'mouse', 'duck', 'dog', 'giraffe', 'tiger']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
goldfish,fox,giraffe,bear,tiger,rat,bat,owl,horse,"['stim5', 'stim6', 'stim7', 'stim1', 'stim8', 'stim2', 'stim3', 'stim4']","['rat', 'bat', 'owl', 'fox', 'horse', 'giraffe', 'bear', 'tiger']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
duck,sheep,butterfly,ant,eagle,lizard,turkey,horse,goldfish,"['stim6', 'stim4', 'stim5', 'stim1', 'stim7', 'stim2', 'stim3', 'stim8']","['turkey', 'eagle', 'lizard', 'sheep', 'horse', 'butterfly', 'ant', 'goldfish']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
shark,turkey,cat,goat,dog,bear,whale,sparrow,monkey,"['stim6', 'stim5', 'stim8', 'stim4', 'stim2', 'stim3', 'stim1', 'stim7']","['whale', 'bear', 'monkey', 'dog', 'cat', 'goat', 'turkey', 'sparrow']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
sheep,monkey,owl,dolphin,snake,frog,turtle,spider,hog,"['stim8', 'stim1', 'stim3', 'stim6', 'stim5', 'stim2', 'stim4', 'stim7']","['hog', 'monkey', 'dolphin', 'turtle', 'frog', 'owl', 'snake', 'spider']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
whale,ant,owl,dolphin,duck,lizard,cow,butterfly,shark,"['stim3', 'stim8', 'stim6', 'stim5', 'stim4', 'stim2', 'stim1', 'stim7']","['dolphin', 'shark', 'cow', 'lizard', 'duck', 'owl', 'ant', 'butterfly']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
dog,snail,turkey,crocodile,spider,sheep,duck,horse,snake,"['stim7', 'stim5', 'stim3', 'stim6', 'stim2', 'stim8', 'stim4', 'stim1']","['horse', 'sheep', 'crocodile', 'duck', 'turkey', 'snake', 'spider', 'snail']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
mouse,bluebird,turtle,owl,dolphin,snake,fox,sheep,monkey,"['stim7', 'stim6', 'stim8', 'stim4', 'stim3', 'stim1', 'stim2', 'stim5']","['sheep', 'fox', 'monkey', 'dolphin', 'owl', 'bluebird', 'turtle', 'snake']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
goldfish,duck,tiger,dog,goat,cow,giraffe,pigeon,lizard,"['stim8', 'stim1', 'stim7', 'stim5', 'stim4', 'stim3', 'stim6', 'stim2']","['lizard', 'duck', 'pigeon', 'cow', 'goat', 'dog', 'giraffe', 'tiger']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
pigeon,giraffe,whale,crocodile,sheep,bear,ladybug,frog,fox,"['stim7', 'stim4', 'stim3', 'stim6', 'stim8', 'stim1', 'stim5', 'stim2']","['frog', 'sheep', 'crocodile', 'ladybug', 'fox', 'giraffe', 'bear', 'whale']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
shark,turtle,horse,goldfish,tiger,cow,hog,dolphin,ladybug,"['stim7', 'stim4', 'stim2', 'stim3', 'stim5', 'stim6', 'stim1', 'stim8']","['dolphin', 'tiger', 'horse', 'goldfish', 'cow', 'hog', 'turtle', 'ladybug']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
frog,fox,butterfly,mouse,rat,bluebird,eagle,goat,crocodile,"['stim8', 'stim3', 'stim6', 'stim4', 'stim5', 'stim2', 'stim7', 'stim1']","['crocodile', 'mouse', 'eagle', 'rat', 'bluebird', 'butterfly', 'goat', 'fox']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
hog,goat,turkey,sparrow,bear,horse,goldfish,fox,ladybug,"['stim1', 'stim5', 'stim7', 'stim4', 'stim2', 'stim3', 'stim8', 'stim6']","['goat', 'horse', 'fox', 'bear', 'turkey', 'sparrow', 'ladybug', 'goldfish']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
mouse,frog,spider,elephant,turkey,ant,bat,dog,giraffe,"['stim7', 'stim6', 'stim8', 'stim3', 'stim1', 'stim4', 'stim5', 'stim2']","['dog', 'bat', 'giraffe', 'elephant', 'frog', 'turkey', 'ant', 'spider']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
goat,sparrow,spider,sheep,snail,giraffe,bat,dolphin,elephant,"['stim3', 'stim5', 'stim8', 'stim6', 'stim7', 'stim1', 'stim4', 'stim2']","['sheep', 'giraffe', 'elephant', 'bat', 'dolphin', 'sparrow', 'snail', 'spider']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
horse,goat,bluebird,giraffe,turkey,turtle,sheep,owl,crocodile,"['stim1', 'stim6', 'stim3', 'stim8', 'stim5', 'stim7', 'stim4', 'stim2']","['goat', 'sheep', 'giraffe', 'crocodile', 'turtle', 'owl', 'turkey', 'bluebird']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
turtle,ladybug,lizard,owl,bear,dog,monkey,eagle,sheep,"['stim2', 'stim8', 'stim5', 'stim7', 'stim3', 'stim1', 'stim4', 'stim6']","['lizard', 'sheep', 'dog', 'eagle', 'owl', 'ladybug', 'bear', 'monkey']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
goldfish,turkey,butterfly,ladybug,ant,whale,elephant,turtle,mouse,"['stim5', 'stim4', 'stim3', 'stim2', 'stim7', 'stim8', 'stim1', 'stim6']","['whale', 'ant', 'ladybug', 'butterfly', 'turtle', 'mouse', 'turkey', 'elephant']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
elephant,cat,butterfly,turkey,shark,snail,bat,tiger,monkey,"['stim7', 'stim8', 'stim1', 'stim6', 'stim4', 'stim3', 'stim5', 'stim2']","['tiger', 'monkey', 'cat', 'bat', 'shark', 'turkey', 'snail', 'butterfly']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
eagle,snake,ladybug,fox,elephant,horse,ant,dog,owl,"['stim8', 'stim3', 'stim7', 'stim5', 'stim4', 'stim1', 'stim2', 'stim6']","['owl', 'fox', 'dog', 'horse', 'elephant', 'snake', 'ladybug', 'ant']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
dog,tiger,monkey,owl,cow,lizard,giraffe,pigeon,ladybug,"['stim4', 'stim6', 'stim2', 'stim1', 'stim5', 'stim3', 'stim7', 'stim8']","['cow', 'giraffe', 'monkey', 'tiger', 'lizard', 'owl', 'pigeon', 'ladybug']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
cat,butterfly,hog,dog,cow,snake,dolphin,snail,sheep,"['stim3', 'stim8', 'stim4', 'stim2', 'stim6', 'stim5', 'stim7', 'stim1']","['dog', 'sheep', 'cow', 'hog', 'dolphin', 'snake', 'snail', 'butterfly']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
fox,whale,cow,rat,monkey,dog,crocodile,duck,eagle,"['stim5', 'stim2', 'stim4', 'stim3', 'stim1', 'stim6', 'stim7', 'stim8']","['dog', 'cow', 'monkey', 'rat', 'whale', 'crocodile', 'duck', 'eagle']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
hog,pigeon,tiger,rat,butterfly,sheep,duck,shark,monkey,"['stim5', 'stim2', 'stim3', 'stim8', 'stim6', 'stim1', 'stim7', 'stim4']","['sheep', 'tiger', 'rat', 'monkey', 'duck', 'pigeon', 'shark', 'butterfly']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
sparrow,cat,shark,dog,pigeon,turtle,goat,hog,turkey,"['stim4', 'stim8', 'stim5', 'stim7', 'stim6', 'stim1', 'stim3', 'stim2']","['pigeon', 'turkey', 'turtle', 'hog', 'goat', 'cat', 'dog', 'shark']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
turkey,fox,cow,crocodile,elephant,bear,goldfish,hog,lizard,"['stim3', 'stim8', 'stim7', 'stim2', 'stim1', 'stim6', 'stim4', 'stim5']","['crocodile', 'lizard', 'hog', 'cow', 'fox', 'goldfish', 'elephant', 'bear']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
duck,cat,rat,dolphin,monkey,fox,goat,elephant,snail,"['stim6', 'stim2', 'stim5', 'stim1', 'stim7', 'stim4', 'stim3', 'stim8']","['goat', 'rat', 'fox', 'cat', 'elephant', 'monkey', 'dolphin', 'snail']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
bear,pigeon,giraffe,horse,cat,owl,lizard,sparrow,ant,"['stim2', 'stim3', 'stim4', 'stim6', 'stim5', 'stim1', 'stim7', 'stim8']","['giraffe', 'horse', 'cat', 'lizard', 'owl', 'pigeon', 'sparrow', 'ant']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
bear,rat,ladybug,tiger,horse,monkey,giraffe,hog,turkey,"['stim3', 'stim4', 'stim5', 'stim7', 'stim1', 'stim6', 'stim8', 'stim2']","['tiger', 'horse', 'monkey', 'hog', 'rat', 'giraffe', 'turkey', 'ladybug']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
spider,goat,elephant,sparrow,fox,bat,mouse,dog,bluebird,"['stim5', 'stim3', 'stim8', 'stim6', 'stim1', 'stim4', 'stim7', 'stim2']","['bat', 'sparrow', 'bluebird', 'mouse', 'goat', 'fox', 'dog', 'elephant']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
butterfly,whale,turtle,bat,monkey,shark,lizard,crocodile,turkey,"['stim3', 'stim6', 'stim2', 'stim8', 'stim7', 'stim5', 'stim4', 'stim1']","['bat', 'lizard', 'turtle', 'turkey', 'crocodile', 'shark', 'monkey', 'whale']",S4,10,2021_Oct_29_1202,image_exp,3.2.4,60.03110812
