ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
dolphin,snail,turkey,eagle,pigeon,dog,cat,hog,goldfish,"['stim5', 'stim6', 'stim7', 'stim8', 'stim2', 'stim3', 'stim1', 'stim4']","['dog', 'cat', 'hog', 'goldfish', 'turkey', 'eagle', 'snail', 'pigeon']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
cow,snail,duck,crocodile,shark,spider,goat,sheep,whale,"['stim6', 'stim7', 'stim3', 'stim8', 'stim2', 'stim4', 'stim1', 'stim5']","['goat', 'sheep', 'crocodile', 'whale', 'duck', 'shark', 'snail', 'spider']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
snake,ant,rat,spider,mouse,pigeon,goldfish,bluebird,goat,"['stim1', 'stim3', 'stim4', 'stim2', 'stim6', 'stim8', 'stim5', 'stim7']","['ant', 'spider', 'mouse', 'rat', 'goldfish', 'goat', 'pigeon', 'bluebird']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
shark,eagle,snake,horse,snail,elephant,spider,frog,hog,"['stim5', 'stim3', 'stim8', 'stim2', 'stim7', 'stim6', 'stim4', 'stim1']","['elephant', 'horse', 'hog', 'snake', 'frog', 'spider', 'snail', 'eagle']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
eagle,fox,snake,elephant,ant,owl,dog,horse,ladybug,"['stim5', 'stim8', 'stim1', 'stim6', 'stim7', 'stim3', 'stim2', 'stim4']","['owl', 'ladybug', 'fox', 'dog', 'horse', 'elephant', 'snake', 'ant']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
turkey,frog,hog,horse,whale,monkey,rat,spider,bear,"['stim2', 'stim5', 'stim6', 'stim3', 'stim8', 'stim1', 'stim7', 'stim4']","['hog', 'monkey', 'rat', 'horse', 'bear', 'frog', 'spider', 'whale']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
eagle,tiger,bluebird,dolphin,rat,owl,bat,spider,fox,"['stim5', 'stim2', 'stim6', 'stim4', 'stim8', 'stim1', 'stim7', 'stim3']","['owl', 'bluebird', 'bat', 'rat', 'fox', 'tiger', 'spider', 'dolphin']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
fox,goat,turtle,ladybug,bat,dolphin,cat,ant,lizard,"['stim1', 'stim6', 'stim5', 'stim4', 'stim8', 'stim2', 'stim7', 'stim3']","['goat', 'cat', 'dolphin', 'bat', 'lizard', 'turtle', 'ant', 'ladybug']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
crocodile,hog,snake,dog,horse,fox,spider,turtle,shark,"['stim2', 'stim7', 'stim5', 'stim1', 'stim3', 'stim4', 'stim8', 'stim6']","['snake', 'turtle', 'fox', 'hog', 'dog', 'horse', 'shark', 'spider']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
duck,turkey,bear,cow,frog,turtle,tiger,lizard,pigeon,"['stim1', 'stim8', 'stim5', 'stim7', 'stim4', 'stim3', 'stim2', 'stim6']","['turkey', 'pigeon', 'turtle', 'lizard', 'frog', 'cow', 'bear', 'tiger']",S4,4,2021_Oct_05_1544,image_exp,3.2.4,60.20475758
