ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
pigeon,elephant,goat,hog,bluebird,snake,monkey,lizard,bat,"['stim4', 'stim8', 'stim7', 'stim2', 'stim3', 'stim5', 'stim1', 'stim6']","['bluebird', 'bat', 'lizard', 'goat', 'hog', 'snake', 'elephant', 'monkey']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
shark,cat,spider,rat,frog,owl,sheep,pigeon,whale,"['stim8', 'stim6', 'stim1', 'stim3', 'stim4', 'stim2', 'stim5', 'stim7']","['whale', 'sheep', 'cat', 'rat', 'frog', 'spider', 'owl', 'pigeon']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
duck,fox,sparrow,shark,dog,ladybug,monkey,snake,hog,"['stim2', 'stim5', 'stim8', 'stim1', 'stim4', 'stim7', 'stim6', 'stim3']","['sparrow', 'ladybug', 'hog', 'fox', 'dog', 'snake', 'monkey', 'shark']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
dog,snail,horse,turtle,sparrow,goldfish,shark,rat,fox,"['stim8', 'stim2', 'stim7', 'stim3', 'stim4', 'stim6', 'stim5', 'stim1']","['fox', 'horse', 'rat', 'turtle', 'sparrow', 'shark', 'goldfish', 'snail']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
snake,ant,dolphin,sparrow,ladybug,butterfly,turtle,monkey,spider,"['stim6', 'stim8', 'stim1', 'stim4', 'stim5', 'stim2', 'stim3', 'stim7']","['turtle', 'spider', 'ant', 'ladybug', 'butterfly', 'dolphin', 'sparrow', 'monkey']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
dolphin,crocodile,ladybug,giraffe,snail,mouse,rat,bat,hog,"['stim3', 'stim8', 'stim5', 'stim6', 'stim1', 'stim7', 'stim2', 'stim4']","['giraffe', 'hog', 'mouse', 'rat', 'crocodile', 'bat', 'ladybug', 'snail']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
fox,ladybug,bat,lizard,ant,goat,dolphin,turtle,cat,"['stim5', 'stim8', 'stim6', 'stim2', 'stim3', 'stim7', 'stim4', 'stim1']","['goat', 'cat', 'dolphin', 'bat', 'lizard', 'turtle', 'ant', 'ladybug']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
frog,elephant,eagle,rat,monkey,ladybug,dolphin,whale,shark,"['stim3', 'stim5', 'stim2', 'stim6', 'stim1', 'stim7', 'stim8', 'stim4']","['rat', 'ladybug', 'eagle', 'dolphin', 'elephant', 'whale', 'shark', 'monkey']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
hog,spider,bluebird,ant,elephant,cow,dog,snake,crocodile,"['stim5', 'stim6', 'stim4', 'stim8', 'stim7', 'stim2', 'stim3', 'stim1']","['cow', 'dog', 'elephant', 'crocodile', 'snake', 'bluebird', 'ant', 'spider']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
snake,bear,elephant,crocodile,eagle,hog,lizard,cat,turkey,"['stim6', 'stim3', 'stim8', 'stim5', 'stim7', 'stim4', 'stim2', 'stim1']","['lizard', 'crocodile', 'turkey', 'hog', 'cat', 'eagle', 'elephant', 'bear']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
dog,elephant,goat,crocodile,turkey,butterfly,bat,whale,hog,"['stim2', 'stim8', 'stim1', 'stim6', 'stim3', 'stim7', 'stim4', 'stim5']","['goat', 'hog', 'elephant', 'bat', 'crocodile', 'whale', 'turkey', 'butterfly']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
bat,goldfish,dog,hog,frog,spider,giraffe,shark,whale,"['stim3', 'stim2', 'stim6', 'stim4', 'stim1', 'stim5', 'stim8', 'stim7']","['hog', 'dog', 'giraffe', 'frog', 'goldfish', 'spider', 'whale', 'shark']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
cat,turtle,elephant,shark,frog,spider,bear,eagle,crocodile,"['stim6', 'stim2', 'stim1', 'stim4', 'stim8', 'stim7', 'stim3', 'stim5']","['bear', 'elephant', 'turtle', 'frog', 'crocodile', 'eagle', 'shark', 'spider']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
eagle,mouse,giraffe,bear,crocodile,dolphin,rat,sheep,pigeon,"['stim8', 'stim1', 'stim6', 'stim7', 'stim2', 'stim3', 'stim4', 'stim5']","['pigeon', 'mouse', 'rat', 'sheep', 'giraffe', 'bear', 'crocodile', 'dolphin']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
duck,dog,spider,shark,crocodile,mouse,cow,giraffe,turtle,"['stim8', 'stim5', 'stim6', 'stim1', 'stim4', 'stim7', 'stim2', 'stim3']","['turtle', 'mouse', 'cow', 'dog', 'crocodile', 'giraffe', 'spider', 'shark']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
bat,snake,snail,sheep,turtle,crocodile,lizard,fox,rat,"['stim8', 'stim6', 'stim3', 'stim7', 'stim4', 'stim1', 'stim5', 'stim2']","['rat', 'lizard', 'sheep', 'fox', 'turtle', 'snake', 'crocodile', 'snail']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
whale,spider,turkey,turtle,dog,owl,mouse,hog,shark,"['stim8', 'stim4', 'stim7', 'stim6', 'stim2', 'stim3', 'stim5', 'stim1']","['shark', 'dog', 'hog', 'mouse', 'turkey', 'turtle', 'owl', 'spider']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
fox,cat,elephant,snail,mouse,hog,ant,sheep,spider,"['stim7', 'stim5', 'stim1', 'stim2', 'stim4', 'stim6', 'stim8', 'stim3']","['sheep', 'hog', 'cat', 'elephant', 'mouse', 'ant', 'spider', 'snail']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
goldfish,snake,ladybug,turkey,eagle,shark,dolphin,frog,snail,"['stim6', 'stim5', 'stim7', 'stim2', 'stim8', 'stim1', 'stim3', 'stim4']","['dolphin', 'shark', 'frog', 'ladybug', 'snail', 'snake', 'turkey', 'eagle']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
bear,cat,lizard,giraffe,owl,horse,ant,pigeon,sparrow,"['stim5', 'stim3', 'stim1', 'stim2', 'stim4', 'stim7', 'stim8', 'stim6']","['horse', 'giraffe', 'cat', 'lizard', 'owl', 'pigeon', 'sparrow', 'ant']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
lizard,dolphin,whale,eagle,tiger,rat,horse,goat,goldfish,"['stim5', 'stim7', 'stim6', 'stim3', 'stim8', 'stim1', 'stim2', 'stim4']","['rat', 'goat', 'horse', 'eagle', 'goldfish', 'dolphin', 'whale', 'tiger']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
turkey,turtle,bat,bluebird,giraffe,cat,pigeon,ant,shark,"['stim6', 'stim3', 'stim2', 'stim1', 'stim5', 'stim4', 'stim7', 'stim8']","['pigeon', 'bluebird', 'bat', 'turtle', 'cat', 'giraffe', 'ant', 'shark']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
duck,eagle,turkey,butterfly,lizard,ant,goldfish,sheep,horse,"['stim2', 'stim1', 'stim4', 'stim7', 'stim3', 'stim8', 'stim6', 'stim5']","['turkey', 'eagle', 'lizard', 'sheep', 'butterfly', 'horse', 'goldfish', 'ant']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
crocodile,turkey,duck,sparrow,bear,tiger,cow,butterfly,frog,"['stim5', 'stim4', 'stim6', 'stim8', 'stim1', 'stim2', 'stim3', 'stim7']","['tiger', 'bear', 'cow', 'frog', 'turkey', 'duck', 'sparrow', 'butterfly']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
ant,turkey,bear,crocodile,turtle,lizard,bluebird,dolphin,frog,"['stim8', 'stim5', 'stim4', 'stim6', 'stim3', 'stim1', 'stim7', 'stim2']","['frog', 'lizard', 'turtle', 'bluebird', 'crocodile', 'turkey', 'dolphin', 'bear']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
turkey,monkey,bat,ladybug,tiger,eagle,duck,horse,ant,"['stim6', 'stim5', 'stim2', 'stim7', 'stim3', 'stim8', 'stim1', 'stim4']","['duck', 'eagle', 'bat', 'horse', 'ladybug', 'ant', 'monkey', 'tiger']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
monkey,dog,bat,duck,turtle,ant,horse,dolphin,crocodile,"['stim6', 'stim1', 'stim7', 'stim2', 'stim8', 'stim4', 'stim3', 'stim5']","['horse', 'dog', 'dolphin', 'bat', 'crocodile', 'turtle', 'duck', 'ant']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
ladybug,sheep,turkey,monkey,snake,cow,pigeon,rat,snail,"['stim8', 'stim6', 'stim2', 'stim7', 'stim4', 'stim1', 'stim5', 'stim3']","['snail', 'pigeon', 'turkey', 'rat', 'snake', 'sheep', 'cow', 'monkey']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
lizard,rat,ant,giraffe,spider,goldfish,fox,dog,elephant,"['stim1', 'stim4', 'stim2', 'stim5', 'stim6', 'stim7', 'stim8', 'stim3']","['rat', 'spider', 'ant', 'goldfish', 'fox', 'dog', 'elephant', 'giraffe']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
spider,snail,turtle,giraffe,mouse,duck,tiger,ant,dog,"['stim7', 'stim1', 'stim2', 'stim5', 'stim4', 'stim8', 'stim3', 'stim6']","['ant', 'snail', 'turtle', 'duck', 'mouse', 'dog', 'giraffe', 'tiger']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
horse,sparrow,elephant,cow,snake,bear,dolphin,monkey,pigeon,"['stim2', 'stim3', 'stim5', 'stim7', 'stim6', 'stim8', 'stim1', 'stim4']","['elephant', 'cow', 'bear', 'monkey', 'dolphin', 'pigeon', 'sparrow', 'snake']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
fox,bear,tiger,pigeon,giraffe,bluebird,dolphin,goat,goldfish,"['stim7', 'stim1', 'stim4', 'stim2', 'stim6', 'stim3', 'stim5', 'stim8']","['goat', 'bear', 'giraffe', 'tiger', 'dolphin', 'pigeon', 'bluebird', 'goldfish']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
mouse,duck,eagle,lizard,snail,goat,cat,butterfly,crocodile,"['stim6', 'stim5', 'stim3', 'stim2', 'stim1', 'stim8', 'stim7', 'stim4']","['cat', 'goat', 'lizard', 'eagle', 'duck', 'crocodile', 'butterfly', 'snail']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
bluebird,crocodile,turkey,sheep,goat,sparrow,goldfish,butterfly,mouse,"['stim5', 'stim2', 'stim8', 'stim4', 'stim3', 'stim7', 'stim1', 'stim6']","['sparrow', 'turkey', 'mouse', 'goat', 'sheep', 'butterfly', 'crocodile', 'goldfish']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
cow,lizard,frog,rat,turkey,tiger,eagle,goldfish,sparrow,"['stim3', 'stim5', 'stim4', 'stim1', 'stim2', 'stim6', 'stim8', 'stim7']","['rat', 'tiger', 'turkey', 'lizard', 'frog', 'eagle', 'sparrow', 'goldfish']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
sheep,crocodile,sparrow,bear,bat,cow,snail,pigeon,ladybug,"['stim5', 'stim3', 'stim4', 'stim1', 'stim7', 'stim2', 'stim8', 'stim6']","['cow', 'bear', 'bat', 'crocodile', 'pigeon', 'sparrow', 'ladybug', 'snail']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
snake,goat,goldfish,owl,dog,frog,bat,tiger,duck,"['stim5', 'stim6', 'stim8', 'stim2', 'stim3', 'stim1', 'stim4', 'stim7']","['frog', 'bat', 'duck', 'goldfish', 'owl', 'goat', 'dog', 'tiger']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
owl,rat,spider,giraffe,cat,turtle,lizard,dog,crocodile,"['stim1', 'stim4', 'stim7', 'stim5', 'stim6', 'stim8', 'stim3', 'stim2']","['rat', 'cat', 'dog', 'turtle', 'lizard', 'crocodile', 'giraffe', 'spider']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
cat,cow,dolphin,hog,snake,dog,sheep,butterfly,snail,"['stim5', 'stim6', 'stim1', 'stim3', 'stim2', 'stim4', 'stim7', 'stim8']","['dog', 'sheep', 'cow', 'hog', 'dolphin', 'snake', 'butterfly', 'snail']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
goat,whale,hog,ladybug,eagle,bear,ant,turtle,cow,"['stim8', 'stim2', 'stim5', 'stim7', 'stim1', 'stim4', 'stim6', 'stim3']","['cow', 'hog', 'bear', 'turtle', 'whale', 'eagle', 'ant', 'ladybug']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
rat,tiger,ant,hog,mouse,lizard,frog,cow,pigeon,"['stim4', 'stim7', 'stim3', 'stim8', 'stim5', 'stim6', 'stim1', 'stim2']","['mouse', 'cow', 'hog', 'pigeon', 'lizard', 'frog', 'tiger', 'ant']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
ladybug,shark,hog,cat,duck,mouse,dolphin,eagle,fox,"['stim4', 'stim7', 'stim5', 'stim2', 'stim3', 'stim8', 'stim6', 'stim1']","['duck', 'eagle', 'mouse', 'hog', 'cat', 'fox', 'dolphin', 'shark']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
bat,tiger,pigeon,snail,duck,turkey,snake,cat,horse,"['stim4', 'stim5', 'stim7', 'stim2', 'stim8', 'stim6', 'stim1', 'stim3']","['duck', 'turkey', 'cat', 'pigeon', 'horse', 'snake', 'tiger', 'snail']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
tiger,fox,ant,pigeon,lizard,goat,snake,eagle,turtle,"['stim1', 'stim5', 'stim4', 'stim8', 'stim6', 'stim7', 'stim3', 'stim2']","['fox', 'goat', 'lizard', 'turtle', 'snake', 'eagle', 'pigeon', 'ant']",S4,6,2021_Oct_13_1140,image_exp,3.2.4,59.5494016
