ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8,clicks,clicked_stimuli,participant,session,date,expName,psychopyVersion,frameRate
bat,giraffe,cow,bluebird,butterfly,ladybug,owl,mouse,dog,"['stim7', 'stim3', 'stim6', 'stim5', 'stim4', 'stim2', 'stim8', 'stim1']","['mouse', 'bluebird', 'owl', 'ladybug', 'butterfly', 'cow', 'dog', 'giraffe']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
tiger,dolphin,sparrow,ladybug,cow,giraffe,sheep,monkey,elephant,"['stim8', 'stim7', 'stim4', 'stim6', 'stim5', 'stim1', 'stim2', 'stim3']","['elephant', 'monkey', 'cow', 'sheep', 'giraffe', 'dolphin', 'sparrow', 'ladybug']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
turtle,pigeon,duck,goldfish,cat,lizard,sheep,whale,rat,"['stim5', 'stim2', 'stim8', 'stim3', 'stim7', 'stim4', 'stim6', 'stim1']","['lizard', 'duck', 'rat', 'goldfish', 'whale', 'cat', 'sheep', 'pigeon']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
turtle,ladybug,owl,eagle,lizard,dog,monkey,bear,sheep,"['stim4', 'stim5', 'stim8', 'stim1', 'stim6', 'stim7', 'stim2', 'stim3']","['lizard', 'dog', 'sheep', 'ladybug', 'monkey', 'bear', 'owl', 'eagle']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
elephant,turtle,eagle,owl,ant,crocodile,rat,goat,sparrow,"['stim6', 'stim7', 'stim5', 'stim3', 'stim2', 'stim1', 'stim8', 'stim4']","['rat', 'goat', 'crocodile', 'owl', 'eagle', 'turtle', 'sparrow', 'ant']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
pigeon,spider,ant,rat,goldfish,snail,cow,dolphin,cat,"['stim3', 'stim8', 'stim6', 'stim5', 'stim2', 'stim1', 'stim7', 'stim4']","['rat', 'cat', 'cow', 'snail', 'ant', 'spider', 'dolphin', 'goldfish']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
horse,monkey,bear,pigeon,cow,snake,elephant,sparrow,dolphin,"['stim6', 'stim1', 'stim8', 'stim2', 'stim4', 'stim3', 'stim7', 'stim5']","['elephant', 'monkey', 'dolphin', 'bear', 'cow', 'pigeon', 'sparrow', 'snake']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
eagle,goldfish,dog,monkey,frog,shark,turtle,lizard,ladybug,"['stim7', 'stim8', 'stim4', 'stim2', 'stim3', 'stim6', 'stim1', 'stim5']","['lizard', 'ladybug', 'frog', 'dog', 'monkey', 'turtle', 'goldfish', 'shark']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
cat,mouse,crocodile,ladybug,sparrow,duck,goldfish,frog,lizard,"['stim1', 'stim5', 'stim8', 'stim2', 'stim7', 'stim4', 'stim3', 'stim6']","['mouse', 'duck', 'lizard', 'crocodile', 'frog', 'sparrow', 'ladybug', 'goldfish']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
butterfly,owl,ant,turkey,tiger,sheep,crocodile,bear,snail,"['stim2', 'stim3', 'stim1', 'stim8', 'stim5', 'stim6', 'stim7', 'stim4']","['ant', 'turkey', 'owl', 'snail', 'sheep', 'crocodile', 'bear', 'tiger']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
ladybug,dog,giraffe,elephant,whale,monkey,frog,turtle,snake,"['stim6', 'stim8', 'stim7', 'stim1', 'stim2', 'stim3', 'stim5', 'stim4']","['frog', 'snake', 'turtle', 'dog', 'giraffe', 'elephant', 'monkey', 'whale']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
frog,whale,ladybug,shark,rat,monkey,eagle,elephant,dolphin,"['stim2', 'stim4', 'stim6', 'stim8', 'stim1', 'stim3', 'stim7', 'stim5']","['ladybug', 'rat', 'eagle', 'dolphin', 'whale', 'shark', 'elephant', 'monkey']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
snail,goldfish,lizard,goat,frog,turkey,sparrow,owl,dog,"['stim4', 'stim2', 'stim1', 'stim6', 'stim7', 'stim5', 'stim3', 'stim8']","['frog', 'lizard', 'goldfish', 'sparrow', 'owl', 'turkey', 'goat', 'dog']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
cow,ant,dog,fox,eagle,tiger,dolphin,monkey,bear,"['stim3', 'stim2', 'stim8', 'stim7', 'stim5', 'stim6', 'stim1', 'stim4']","['fox', 'dog', 'bear', 'monkey', 'tiger', 'dolphin', 'ant', 'eagle']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
hog,snake,cow,crocodile,ant,elephant,bluebird,spider,dog,"['stim2', 'stim8', 'stim5', 'stim3', 'stim1', 'stim6', 'stim4', 'stim7']","['cow', 'dog', 'elephant', 'crocodile', 'snake', 'bluebird', 'ant', 'spider']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
bluebird,monkey,rat,snake,owl,dog,spider,shark,cat,"['stim4', 'stim2', 'stim8', 'stim5', 'stim1', 'stim3', 'stim6', 'stim7']","['owl', 'rat', 'cat', 'dog', 'monkey', 'snake', 'spider', 'shark']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
dolphin,fox,bat,tiger,sheep,goat,turtle,bear,ladybug,"['stim5', 'stim4', 'stim1', 'stim7', 'stim3', 'stim2', 'stim6', 'stim8']","['goat', 'sheep', 'fox', 'bear', 'tiger', 'bat', 'turtle', 'ladybug']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
pigeon,lizard,snake,bat,hog,bluebird,goat,elephant,monkey,"['stim5', 'stim3', 'stim6', 'stim4', 'stim1', 'stim7', 'stim8', 'stim2']","['bluebird', 'bat', 'goat', 'hog', 'lizard', 'elephant', 'monkey', 'snake']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
owl,goat,goldfish,snail,sparrow,whale,mouse,sheep,ladybug,"['stim4', 'stim6', 'stim7', 'stim1', 'stim8', 'stim3', 'stim2', 'stim5']","['sparrow', 'mouse', 'sheep', 'goat', 'ladybug', 'snail', 'goldfish', 'whale']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
dolphin,turkey,snail,cat,goldfish,hog,pigeon,eagle,dog,"['stim8', 'stim3', 'stim5', 'stim4', 'stim1', 'stim7', 'stim6', 'stim2']","['dog', 'cat', 'hog', 'goldfish', 'turkey', 'eagle', 'pigeon', 'snail']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
bluebird,giraffe,duck,goat,eagle,ant,ladybug,snail,mouse,"['stim2', 'stim4', 'stim8', 'stim3', 'stim6', 'stim5', 'stim7', 'stim1']","['duck', 'eagle', 'mouse', 'goat', 'ladybug', 'ant', 'snail', 'giraffe']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
rat,cow,lizard,pigeon,hog,mouse,ant,tiger,frog,"['stim5', 'stim4', 'stim1', 'stim3', 'stim2', 'stim8', 'stim7', 'stim6']","['mouse', 'hog', 'cow', 'pigeon', 'lizard', 'frog', 'tiger', 'ant']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
turtle,snail,elephant,duck,sparrow,snake,cat,cow,ant,"['stim1', 'stim3', 'stim6', 'stim7', 'stim8', 'stim4', 'stim5', 'stim2']","['snail', 'duck', 'cat', 'cow', 'ant', 'sparrow', 'snake', 'elephant']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
eagle,duck,pigeon,goat,hog,mouse,whale,cat,butterfly,"['stim2', 'stim1', 'stim5', 'stim3', 'stim4', 'stim7', 'stim8', 'stim6']","['pigeon', 'duck', 'mouse', 'goat', 'hog', 'cat', 'butterfly', 'whale']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
shark,snake,eagle,spider,hog,frog,snail,horse,elephant,"['stim8', 'stim7', 'stim1', 'stim5', 'stim6', 'stim4', 'stim2', 'stim3']","['elephant', 'horse', 'snake', 'frog', 'snail', 'hog', 'eagle', 'spider']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
crocodile,dog,pigeon,bat,mouse,dolphin,monkey,eagle,fox,"['stim8', 'stim4', 'stim1', 'stim6', 'stim5', 'stim3', 'stim2', 'stim7']","['fox', 'mouse', 'dog', 'monkey', 'dolphin', 'bat', 'pigeon', 'eagle']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
snake,giraffe,snail,cow,shark,dog,bear,frog,elephant,"['stim7', 'stim2', 'stim4', 'stim3', 'stim5', 'stim1', 'stim6', 'stim8']","['frog', 'snail', 'shark', 'cow', 'dog', 'giraffe', 'bear', 'elephant']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
mouse,cow,dolphin,whale,giraffe,goldfish,rat,frog,snake,"['stim6', 'stim1', 'stim4', 'stim2', 'stim7', 'stim5', 'stim8', 'stim3']","['rat', 'cow', 'giraffe', 'dolphin', 'frog', 'goldfish', 'snake', 'whale']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
crocodile,rat,cat,sparrow,duck,giraffe,elephant,lizard,whale,"['stim6', 'stim7', 'stim1', 'stim2', 'stim4', 'stim5', 'stim3', 'stim8']","['elephant', 'lizard', 'rat', 'cat', 'duck', 'giraffe', 'sparrow', 'whale']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
ladybug,rat,cow,snail,monkey,snake,turkey,sheep,pigeon,"['stim3', 'stim5', 'stim1', 'stim7', 'stim2', 'stim6', 'stim8', 'stim4']","['snail', 'snake', 'rat', 'sheep', 'cow', 'turkey', 'pigeon', 'monkey']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
goldfish,frog,shark,snail,turkey,eagle,ladybug,snake,dolphin,"['stim8', 'stim2', 'stim1', 'stim3', 'stim6', 'stim7', 'stim5', 'stim4']","['dolphin', 'shark', 'frog', 'snail', 'ladybug', 'snake', 'eagle', 'turkey']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
cat,eagle,spider,crocodile,shark,frog,elephant,turtle,bear,"['stim6', 'stim8', 'stim7', 'stim3', 'stim5', 'stim1', 'stim2', 'stim4']","['elephant', 'bear', 'turtle', 'crocodile', 'frog', 'eagle', 'spider', 'shark']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
sparrow,lizard,snail,ant,horse,bluebird,rat,monkey,eagle,"['stim8', 'stim5', 'stim6', 'stim1', 'stim4', 'stim7', 'stim3', 'stim2']","['eagle', 'bluebird', 'rat', 'lizard', 'horse', 'monkey', 'ant', 'snail']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
sparrow,cat,dog,hog,shark,turtle,goat,pigeon,turkey,"['stim7', 'stim8', 'stim6', 'stim3', 'stim1', 'stim2', 'stim5', 'stim4']","['pigeon', 'turkey', 'goat', 'hog', 'cat', 'dog', 'turtle', 'shark']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
goat,duck,cow,whale,mouse,spider,rat,sheep,horse,"['stim7', 'stim2', 'stim8', 'stim4', 'stim6', 'stim1', 'stim3', 'stim5']","['sheep', 'cow', 'horse', 'mouse', 'rat', 'duck', 'whale', 'spider']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
ant,monkey,goldfish,eagle,snake,spider,sparrow,pigeon,ladybug,"['stim5', 'stim8', 'stim2', 'stim4', 'stim6', 'stim7', 'stim3', 'stim1']","['spider', 'ladybug', 'goldfish', 'snake', 'sparrow', 'pigeon', 'eagle', 'monkey']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
snake,tiger,frog,duck,owl,dog,goldfish,goat,bat,"['stim2', 'stim6', 'stim8', 'stim7', 'stim5', 'stim3', 'stim1', 'stim4']","['frog', 'goldfish', 'bat', 'goat', 'dog', 'duck', 'tiger', 'owl']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
dog,mouse,cat,ant,shark,turtle,pigeon,dolphin,monkey,"['stim2', 'stim8', 'stim7', 'stim1', 'stim5', 'stim6', 'stim3', 'stim4']","['cat', 'monkey', 'dolphin', 'mouse', 'turtle', 'pigeon', 'ant', 'shark']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
ladybug,butterfly,turkey,cow,sparrow,goldfish,horse,crocodile,bluebird,"['stim1', 'stim4', 'stim8', 'stim2', 'stim5', 'stim7', 'stim3', 'stim6']","['butterfly', 'sparrow', 'bluebird', 'turkey', 'goldfish', 'crocodile', 'cow', 'horse']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
lizard,tiger,mouse,duck,ladybug,dolphin,owl,pigeon,cat,"['stim2', 'stim8', 'stim3', 'stim4', 'stim6', 'stim7', 'stim5', 'stim1']","['mouse', 'cat', 'duck', 'ladybug', 'owl', 'pigeon', 'dolphin', 'tiger']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
elephant,duck,snake,pigeon,fox,horse,spider,goldfish,cow,"['stim5', 'stim4', 'stim8', 'stim1', 'stim3', 'stim2', 'stim7', 'stim6']","['horse', 'fox', 'cow', 'duck', 'pigeon', 'snake', 'goldfish', 'spider']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
bear,shark,cow,dog,duck,crocodile,eagle,elephant,turtle,"['stim7', 'stim3', 'stim2', 'stim1', 'stim5', 'stim6', 'stim4', 'stim8']","['elephant', 'dog', 'cow', 'shark', 'crocodile', 'eagle', 'duck', 'turtle']",S4,2,2021_Sep_24_1142,image_exp,3.2.4,59.91197565
